GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
306462715,Connect4,3,GAME_OVER,8,1,2,77,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1595934290,Connect4,3,GAME_OVER,8,1,2,78,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
372545689,Connect4,3,GAME_OVER,8,1,2,79,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1791317608,Connect4,3,GAME_OVER,8,1,2,80,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
594493312,Connect4,4,GAME_OVER,10,1,2,81,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1375946348,Connect4,3,GAME_OVER,8,1,2,82,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1004766817,Connect4,3,GAME_OVER,8,1,2,83,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
714044006,Connect4,3,GAME_OVER,8,1,2,84,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1418075335,Connect4,9,GAME_OVER,19,0,2,85,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1141736524,Connect4,4,GAME_OVER,10,1,2,86,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
443981092,Connect4,3,GAME_OVER,8,1,2,87,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-68629972,Connect4,3,GAME_OVER,8,1,2,88,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1822990971,Connect4,3,GAME_OVER,8,1,2,89,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
268448290,Connect4,3,GAME_OVER,8,1,2,90,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1043028123,Connect4,3,GAME_OVER,8,1,2,91,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1199211999,Connect4,3,GAME_OVER,8,1,2,92,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1398271441,Connect4,3,GAME_OVER,8,1,2,93,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
648115670,Connect4,3,GAME_OVER,8,1,2,94,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1962877811,Connect4,3,GAME_OVER,8,1,2,95,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1960070630,Connect4,3,GAME_OVER,8,1,2,96,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
36358070,Connect4,3,GAME_OVER,8,1,2,97,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
375050126,Connect4,9,GAME_OVER,19,0,2,98,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1468478823,Connect4,4,GAME_OVER,10,1,2,99,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-218109356,Connect4,3,GAME_OVER,8,1,2,100,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-3023545,Connect4,3,GAME_OVER,7,0,2,101,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1504533260,Connect4,5,GAME_OVER,12,1,2,102,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
731461140,Connect4,3,GAME_OVER,8,1,2,103,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-784229007,Connect4,3,GAME_OVER,8,1,2,104,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
